问题,SQL语句
江西上饶在休闲娱乐场所场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%休闲娱乐场所%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在行政村场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%行政村%' AND ""宏站/室分"" = '宏站';"
江西上饶在行政村场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%行政村%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在会展中心场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%会展中心%' AND ""宏站/室分"" = '宏站';"
江西上饶在会展中心场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%会展中心%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在厂园区场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%厂园区%' AND ""宏站/室分"" = '宏站';"
江西上饶在厂园区场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%厂园区%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶使用中频的5G小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND (""频段（NR3500/NR2100/NR900)"" LIKE '%NR3500%' OR ""频段（NR3500/NR2100/NR900)"" LIKE '%NR2100%');"
江西上饶在农村区域的小区总数是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""市县乡村"" = '农村';"
江西上饶各场景下的小区数量分布情况如何？,"SELECT ""78类场景类型"", COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' GROUP BY ""78类场景类型"";"
江西上饶的低频5G小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""频段（NR3500/NR2100/NR900)"" = 'NR900';"
统计江西上饶分布在市区、县城、乡镇、农村的5G小区规模是多少？,"SELECT ""市县乡村"", COUNT(DISTINCT ""Cell Name"") as ""5G小区数"" FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' GROUP BY ""市县乡村"" ;"
统计江西上饶的各厂商的5G小区规模是多少？,"SELECT ""归属厂商"", COUNT(DISTINCT ""Cell Name"") as ""5G小区数"" FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' GROUP BY ""归属厂商"" ;"
江西景德镇在普通县城场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%普通县城%' AND ""宏站/室分"" = '宏站';"
江西景德镇在普通县城场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%普通县城%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在县级市及以上长途汽车站及公交枢场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%县级市及以上长途汽车站及公交枢%' AND ""宏站/室分"" = '宏站';"
江西景德镇在县级市及以上长途汽车站及公交枢场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%县级市及以上长途汽车站及公交枢%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在别墅区场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%别墅区%' AND ""宏站/室分"" = '宏站';"
江西景德镇在别墅区场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%别墅区%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在大型会展中心场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%大型会展中心%' AND ""宏站/室分"" = '宏站';"
江西景德镇在大型会展中心场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%大型会展中心%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在工厂场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%工厂%' AND ""宏站/室分"" = '宏站';"
江西景德镇在工厂场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%工厂%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在大型商业购物区场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%大型商业购物区%' AND ""宏站/室分"" = '宏站';"
江西景德镇在大型商业购物区场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%大型商业购物区%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在国际机场高速场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%国际机场高速%' AND ""宏站/室分"" = '宏站';"
江西景德镇在国际机场高速场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%国际机场高速%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在学校校园场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%学校校园%' AND ""宏站/室分"" = '宏站';"
江西景德镇在学校校园场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%学校校园%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在5A级景区场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%5A级景区%' AND ""宏站/室分"" = '宏站';"
江西景德镇在5A级景区场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%5A级景区%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在省内高铁场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%省内高铁%' AND ""宏站/室分"" = '宏站';"
江西景德镇在省内高铁场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%省内高铁%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在家电电子卖场场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%家电电子卖场%' AND ""宏站/室分"" = '宏站';"
江西景德镇在家电电子卖场场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%家电电子卖场%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在休闲娱乐场所场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%休闲娱乐场所%' AND ""宏站/室分"" = '宏站';"
江西景德镇在休闲娱乐场所场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%休闲娱乐场所%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在行政村场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%行政村%' AND ""宏站/室分"" = '宏站';"
江西景德镇在行政村场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%行政村%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在会展中心场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%会展中心%' AND ""宏站/室分"" = '宏站';"
江西景德镇在会展中心场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%会展中心%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇在厂园区场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%厂园区%' AND ""宏站/室分"" = '宏站';"
江西景德镇在厂园区场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""78类场景类型"" LIKE '%厂园区%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西景德镇使用中频的5G小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND (""频段（NR3500/NR2100/NR900)"" LIKE '%NR3500%' OR ""频段（NR3500/NR2100/NR900)"" LIKE '%NR2100%');"
江西景德镇在农村区域的小区总数是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""市县乡村"" = '农村';"
江西景德镇各场景下的小区数量分布情况如何？,"SELECT ""78类场景类型"", COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' GROUP BY ""78类场景类型"";"
江西景德镇的低频5G小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' AND ""频段（NR3500/NR2100/NR900)"" = 'NR900';"
统计江西景德镇分布在市区、县城、乡镇、农村的5G小区规模是多少？,"SELECT ""市县乡村"", COUNT(DISTINCT ""Cell Name"") as ""5G小区数"" FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' GROUP BY ""市县乡村"" ;"
统计江西景德镇的各厂商的5G小区规模是多少？,"SELECT ""归属厂商"", COUNT(DISTINCT ""Cell Name"") as ""5G小区数"" FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '景德镇' GROUP BY ""归属厂商"" ;"
江西赣州在普通县城场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%普通县城%' AND ""宏站/室分"" = '宏站';"
江西赣州在普通县城场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%普通县城%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西赣州在县级市及以上长途汽车站及公交枢场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%县级市及以上长途汽车站及公交枢%' AND ""宏站/室分"" = '宏站';"
江西赣州在县级市及以上长途汽车站及公交枢场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%县级市及以上长途汽车站及公交枢%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西赣州在别墅区场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%别墅区%' AND ""宏站/室分"" = '宏站';"
江西赣州在别墅区场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%别墅区%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西赣州在大型会展中心场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%大型会展中心%' AND ""宏站/室分"" = '宏站';"
江西赣州在大型会展中心场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%大型会展中心%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西赣州在工厂场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%工厂%' AND ""宏站/室分"" = '宏站';"
江西赣州在工厂场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%工厂%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西赣州在大型商业购物区场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%大型商业购物区%' AND ""宏站/室分"" = '宏站';"
江西赣州在大型商业购物区场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%大型商业购物区%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西赣州在国际机场高速场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%国际机场高速%' AND ""宏站/室分"" = '宏站';"
江西赣州在国际机场高速场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%国际机场高速%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西赣州在学校校园场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%学校校园%' AND ""宏站/室分"" = '宏站';"
江西赣州在学校校园场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%学校校园%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西赣州在5A级景区场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%5A级景区%' AND ""宏站/室分"" = '宏站';"
江西赣州在5A级景区场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%5A级景区%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西赣州在省内高铁场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%省内高铁%' AND ""宏站/室分"" = '宏站';"
江西赣州在省内高铁场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '赣州' AND ""78类场景类型"" LIKE '%省内高铁%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
